ShellLength;Temperature;G
190;24;0,002346874
200;24;0
0;24,1;0,047572869
10;24,1;0,045194225
20;24,1;0,042815582
30;24,1;0,040436938
40;24,1;0,038058295
50;24,1;0,035679651
60;24,1;0,033301008
70;24,1;0,030922365
80;24,1;0,028543721
90;24,1;0,026165078
100;24,1;0,023786434
110;24,1;0,021407791
120;24,1;0,019029147
130;24,1;0,016650504
140;24,1;0,014271861
150;24,1;0,011893217
160;24,1;0,009514574
170;24,1;0,00713593
180;24,1;0,004757287
190;24,1;0,002378643
200;24,1;0
0;24,2;0,048210663
10;24,2;0,045800129
20;24,2;0,043389596
30;24,2;0,040979063
40;24,2;0,03856853
50;24,2;0,036157997
60;24,2;0,033747464
70;24,2;0,031336931
80;24,2;0,028926398
90;24,2;0,026515864
100;24,2;0,024105331
110;24,2;0,021694798
120;24,2;0,019284265
130;24,2;0,016873732
140;24,2;0,014463199
150;24,2;0,012052666
160;24,2;0,009642133
170;24,2;0,007231599
180;24,2;0,004821066
190;24,2;0,002410533
200;24,2;0
0;24,3;0,048850587
10;24,3;0,046408058
20;24,3;0,043965528
30;24,3;0,041522999
40;24,3;0,03908047
50;24,3;0,03663794
60;24,3;0,034195411
70;24,3;0,031752882
80;24,3;0,029310352
90;24,3;0,026867823
100;24,3;0,024425293
110;24,3;0,021982764
120;24,3;0,019540235
130;24,3;0,017097705
140;24,3;0,014655176
150;24,3;0,012212647
160;24,3;0,009770117
170;24,3;0,007327588
180;24,3;0,004885059
190;24,3;0,002442529
200;24,3;0
0;24,4;0,049492355
10;24,4;0,047017737
20;24,4;0,044543119
30;24,4;0,042068501
40;24,4;0,039593884
50;24,4;0,037119266
60;24,4;0,034644648
70;24,4;0,032170031
80;24,4;0,029695413
90;24,4;0,027220795
100;24,4;0,024746177
110;24,4;0,02227156
120;24,4;0,019796942
130;24,4;0,017322324
140;24,4;0,014847706
150;24,4;0,012373089
160;24,4;0,009898471
170;24,4;0,007423853
180;24,4;0,004949235
190;24,4;0,002474618
200;24,4;0
0;24,5;0,050135663
10;24,5;0,04762888
20;24,5;0,045122097
30;24,5;0,042615314
40;24,5;0,040108531
50;24,5;0,037601747
60;24,5;0,035094964
70;24,5;0,032588181
80;24,5;0,030081398
90;24,5;0,027574615
100;24,5;0,025067832
110;24,5;0,022561048
120;24,5;0,020054265
130;24,5;0,017547482
140;24,5;0,015040699
150;24,5;0,012533916
160;24,5;0,010027133
170;24,5;0,007520349
180;24,5;0,005013566
190;24,5;0,002506783
200;24,5;0
0;24,6;0,050780195
10;24,6;0,048241185
20;24,6;0,045702175
30;24,6;0,043163165
40;24,6;0,040624156
50;24,6;0,038085146
60;24,6;0,035546136
70;24,6;0,033007126
80;24,6;0,030468117
90;24,6;0,027929107
100;24,6;0,025390097
110;24,6;0,022851088
120;24,6;0,020312078
130;24,6;0,017773068
140;24,6;0,015234058
150;24,6;0,012695049
160;24,6;0,010156039
170;24,6;0,007617029
180;24,6;0,005078019
190;24,6;0,00253901
200;24,6;0
0;24,7;0,051425613
10;24,7;0,048854333
20;24,7;0,046283052
30;24,7;0,043711771
40;24,7;0,041140491
50;24,7;0,03856921
60;24,7;0,035997929
70;24,7;0,033426649
80;24,7;0,030855368
90;24,7;0,028284087
100;24,7;0,025712807
110;24,7;0,023141526
120;24,7;0,020570245
130;24,7;0,017998965
140;24,7;0,015427684
150;24,7;0,012856403
160;24,7;0,010285123
170;24,7;0,007713842
180;24,7;0,005142561
190;24,7;0,002571281
200;24,7;0
0;24,8;0,052071567
10;24,8;0,049467989
20;24,8;0,046864411
30;24,8;0,044260832
40;24,8;0,041657254
50;24,8;0,039053676
60;24,8;0,036450097
70;24,8;0,033846519
80;24,8;0,03124294
90;24,8;0,028639362
100;24,8;0,026035784
110;24,8;0,023432205
120;24,8;0,020828627
130;24,8;0,018225049
140;24,8;0,01562147
150;24,8;0,013017892
160;24,8;0,010414313
170;24,8;0,007810735
180;24,8;0,005207157
190;24,8;0,002603578
200;24,8;0
0;24,9;0,052717687
10;24,9;0,050081802
20;24,9;0,047445918
30;24,9;0,044810034
40;24,9;0,042174149
50;24,9;0,039538265
60;24,9;0,036902381
70;24,9;0,034266496
80;24,9;0,031630612
90;24,9;0,028994728
100;24,9;0,026358843
110;24,9;0,023722959
120;24,9;0,021087075
130;24,9;0,01845119
140;24,9;0,015815306
150;24,9;0,013179422
160;24,9;0,010543537
170;24,9;0,007907653
180;24,9;0,005271769
190;24,9;0,002635884
200;24,9;0
0;25;0,053363582
10;25;0,050695403
20;25;0,048027224
30;25;0,045359045
40;25;0,042690866
50;25;0,040022687
60;25;0,037354507
70;25;0,034686328
80;25;0,032018149
90;25;0,02934997
100;25;0,026681791
110;25;0,024013612
120;25;0,021345433
130;25;0,018677254
140;25;0,016009075
150;25;0,013340896
160;25;0,010672716
170;25;0,008004537
180;25;0,005336358
190;25;0,002668179
200;25;0
0;25,1;0,054008846
10;25,1;0,051308404
20;25,1;0,048607962
30;25,1;0,045907519
40;25,1;0,043207077
50;25,1;0,040506635
60;25,1;0,037806192
70;25,1;0,03510575
80;25,1;0,032405308
90;25,1;0,029704865
100;25,1;0,027004423
110;25,1;0,024303981
120;25,1;0,021603538
130;25,1;0,018903096
140;25,1;0,016202654
150;25,1;0,013502212
160;25,1;0,010801769
170;25,1;0,008101327
180;25,1;0,005400885
190;25,1;0,002700442
200;25,1;0
0;25,2;0,054653051
10;25,2;0,051920398
20;25,2;0,049187746
30;25,2;0,046455093
40;25,2;0,043722441
50;25,2;0,040989788
60;25,2;0,038257136
70;25,2;0,035524483
80;25,2;0,03279183
90;25,2;0,030059178
100;25,2;0,027326525
110;25,2;0,024593873
120;25,2;0,02186122
130;25,2;0,019128568
140;25,2;0,016395915
150;25,2;0,013663263
160;25,2;0,01093061
170;25,2;0,008197958
180;25,2;0,005465305
190;25,2;0,002732653
200;25,2;0
0;25,3;0,055295747
10;25,3;0,05253096
20;25,3;0,049766173
30;25,3;0,047001385
40;25,3;0,044236598
50;25,3;0,041471811
60;25,3;0,038707023
70;25,3;0,035942236
80;25,3;0,033177448
90;25,3;0,030412661
100;25,3;0,027647874
110;25,3;0,024883086
120;25,3;0,022118299
130;25,3;0,019353512
140;25,3;0,016588724
150;25,3;0,013823937
160;25,3;0,011059149
170;25,3;0,008294362
180;25,3;0,005529575
190;25,3;0,002764787
200;25,3;0
0;25,4;0,055936466
10;25,4;0,053139643
20;25,4;0,050342819
30;25,4;0,047545996
40;25,4;0,044749173
50;25,4;0,04195235
60;25,4;0,039155526
70;25,4;0,036358703
80;25,4;0,03356188
90;25,4;0,030765056
100;25,4;0,027968233
110;25,4;0,02517141
120;25,4;0,022374586
130;25,4;0,019577763
140;25,4;0,01678094
150;25,4;0,013984117
160;25,4;0,011187293
170;25,4;0,00839047
180;25,4;0,005593647
190;25,4;0,002796823
200;25,4;0
0;25,5;0,056574714
10;25,5;0,053745979
20;25,5;0,050917243
30;25,5;0,048088507
40;25,5;0,045259772
50;25,5;0,042431036
60;25,5;0,0396023
70;25,5;0,036773564
80;25,5;0,033944829
90;25,5;0,031116093
100;25,5;0,028287357
110;25,5;0,025458622
120;25,5;0,022629886
130;25,5;0,01980115
140;25,5;0,016972414
150;25,5;0,014143679
160;25,5;0,011314943
170;25,5;0,008486207
180;25,5;0,005657471
190;25,5;0,002828736
200;25,5;0
0;25,6;0,057209977
10;25,6;0,054349478
20;25,6;0,05148898
30;25,6;0,048628481
40;25,6;0,045767982
50;25,6;0,042907483
60;25,6;0,040046984
70;25,6;0,037186485
80;25,6;0,034325986
90;25,6;0,031465488
100;25,6;0,028604989
110;25,6;0,02574449
120;25,6;0,022883991
130;25,6;0,020023492
140;25,6;0,017162993
150;25,6;0,014302494
160;25,6;0,011441995
170;25,6;0,008581497
180;25,6;0,005720998
190;25,6;0,002860499
200;25,6;0
0;25,7;0,057841716
10;25,7;0,05494963
20;25,7;0,052057544
30;25,7;0,049165458
40;25,7;0,046273373
50;25,7;0,043381287
60;25,7;0,040489201
70;25,7;0,037597115
80;25,7;0,034705029
90;25,7;0,031812944
100;25,7;0,028920858
110;25,7;0,026028772
120;25,7;0,023136686
130;25,7;0,0202446
140;25,7;0,017352515
150;25,7;0,014460429
160;25,7;0,011568343
170;25,7;0,008676257
180;25,7;0,005784172
190;25,7;0,002892086
200;25,7;0
0;25,8;0,058469365
10;25,8;0,055545897
20;25,8;0,052622429
30;25,8;0,049698961
40;25,8;0,046775492
50;25,8;0,043852024
60;25,8;0,040928556
70;25,8;0,038005088
80;25,8;0,035081619
90;25,8;0,032158151
100;25,8;0,029234683
110;25,8;0,026311214
120;25,8;0,023387746
130;25,8;0,020464278
140;25,8;0,01754081
150;25,8;0,014617341
160;25,8;0,011693873
170;25,8;0,008770405
180;25,8;0,005846937
190;25,8;0,002923468
200;25,8;0
0;25,9;0,059092338
10;25,9;0,056137721
20;25,9;0,053183104
30;25,9;0,050228487
40;25,9;0,04727387
50;25,9;0,044319253
60;25,9;0,041364636
70;25,9;0,038410019
80;25,9;0,035455403
90;25,9;0,032500786
100;25,9;0,029546169
110;25,9;0,026591552
120;25,9;0,023636935
130;25,9;0,020682318
140;25,9;0,017727701
150;25,9;0,014773084
160;25,9;0,011818468
170;25,9;0,008863851
180;25,9;0,005909234
190;25,9;0,002954617
200;25,9;0
0;26;0,059710016
10;26;0,056724515
20;26;0,053739014
30;26;0,050753513
40;26;0,047768013
50;26;0,044782512
60;26;0,041797011
70;26;0,03881151
80;26;0,035826009
90;26;0,032840509
100;26;0,029855008
110;26;0,026869507
120;26;0,023884006
130;26;0,020898506
140;26;0,017913005
150;26;0,014927504
160;26;0,011942003
170;26;0,008956502
180;26;0,005971002
190;26;0,002985501
200;26;0
0;26,1;0,060321757
10;26,1;0,057305669
20;26,1;0,054289581
30;26,1;0,051273493
40;26,1;0,048257406
50;26,1;0,045241318
60;26,1;0,04222523
