ShellLength;Temperature;G
150;24,7;0,015118174
160;24,7;0,012094539
170;24,7;0,009070904
180;24,7;0,006047269
190;24,7;0,003023635
200;24,7;0
0;24,8;0,061232289
10;24,8;0,058170674
20;24,8;0,05510906
30;24,8;0,052047446
40;24,8;0,048985831
50;24,8;0,045924217
60;24,8;0,042862602
70;24,8;0,039800988
80;24,8;0,036739373
90;24,8;0,033677759
100;24,8;0,030616144
110;24,8;0,02755453
120;24,8;0,024492916
130;24,8;0,021431301
140;24,8;0,018369687
150;24,8;0,015308072
160;24,8;0,012246458
170;24,8;0,009184843
180;24,8;0,006123229
190;24,8;0,003061614
200;24,8;0
0;24,9;0,061992077
10;24,9;0,058892473
20;24,9;0,055792869
30;24,9;0,052693265
40;24,9;0,049593662
50;24,9;0,046494058
60;24,9;0,043394454
70;24,9;0,04029485
80;24,9;0,037195246
90;24,9;0,034095642
100;24,9;0,030996038
110;24,9;0,027896435
120;24,9;0,024796831
130;24,9;0,021697227
140;24,9;0,018597623
150;24,9;0,015498019
160;24,9;0,012398415
170;24,9;0,009298812
180;24,9;0,006199208
190;24,9;0,003099604
200;24,9;0
0;25;0,062751602
10;25;0,059614022
20;25;0,056476442
30;25;0,053338862
40;25;0,050201282
50;25;0,047063702
60;25;0,043926121
70;25;0,040788541
80;25;0,037650961
90;25;0,034513381
100;25;0,031375801
110;25;0,028238221
120;25;0,025100641
130;25;0,021963061
140;25;0,018825481
150;25;0,015687901
160;25;0,01255032
170;25;0,00941274
180;25;0,00627516
190;25;0,00313758
200;25;0
0;25,1;0,063510385
10;25,1;0,060334865
20;25,1;0,057159346
30;25,1;0,053983827
40;25,1;0,050808308
50;25,1;0,047632788
60;25,1;0,044457269
70;25,1;0,04128175
80;25,1;0,038106231
90;25,1;0,034930712
100;25,1;0,031755192
110;25,1;0,028579673
120;25,1;0,025404154
130;25,1;0,022228635
140;25,1;0,019053115
150;25,1;0,015877596
160;25,1;0,012702077
170;25,1;0,009526558
180;25,1;0,006351038
190;25,1;0,003175519
200;25,1;0
0;25,2;0,064267921
10;25,2;0,061054525
20;25,2;0,057841129
30;25,2;0,054627733
40;25,2;0,051414337
50;25,2;0,048200941
60;25,2;0,044987545
70;25,2;0,041774149
80;25,2;0,038560753
90;25,2;0,035347357
100;25,2;0,032133961
110;25,2;0,028920565
120;25,2;0,025707169
130;25,2;0,022493772
140;25,2;0,019280376
150;25,2;0,01606698
160;25,2;0,012853584
170;25,2;0,009640188
180;25,2;0,006426792
190;25,2;0,003213396
200;25,2;0
0;25,3;0,065023685
10;25,3;0,061772501
20;25,3;0,058521316
30;25,3;0,055270132
40;25,3;0,052018948
50;25,3;0,048767764
60;25,3;0,045516579
70;25,3;0,042265395
80;25,3;0,039014211
90;25,3;0,035763027
100;25,3;0,032511842
110;25,3;0,029260658
120;25,3;0,026009474
130;25,3;0,02275829
140;25,3;0,019507105
150;25,3;0,016255921
160;25,3;0,013004737
170;25,3;0,009753553
180;25,3;0,006502368
190;25,3;0,003251184
200;25,3;0
0;25,4;0,065777122
10;25,4;0,062488266
20;25,4;0,05919941
30;25,4;0,055910554
40;25,4;0,052621698
50;25,4;0,049332842
60;25,4;0,046043986
70;25,4;0,042755129
80;25,4;0,039466273
90;25,4;0,036177417
100;25,4;0,032888561
110;25,4;0,029599705
120;25,4;0,026310849
130;25,4;0,023021993
140;25,4;0,019733137
150;25,4;0,016444281
160;25,4;0,013155424
170;25,4;0,009866568
180;25,4;0,006577712
190;25,4;0,003288856
200;25,4;0
0;25,5;0,066527655
10;25,5;0,063201272
20;25,5;0,059874889
30;25,5;0,056548507
40;25,5;0,053222124
50;25,5;0,049895741
60;25,5;0,046569358
70;25,5;0,043242976
80;25,5;0,039916593
90;25,5;0,03659021
100;25,5;0,033263827
110;25,5;0,029937445
120;25,5;0,026611062
130;25,5;0,023284679
140;25,5;0,019958296
150;25,5;0,016631914
160;25,5;0,013305531
170;25,5;0,009979148
180;25,5;0,006652765
190;25,5;0,003326383
200;25,5;0
0;25,6;0,067274677
10;25,6;0,063910943
20;25,6;0,060547209
30;25,6;0,057183475
40;25,6;0,053819741
50;25,6;0,050456008
60;25,6;0,047092274
70;25,6;0,04372854
80;25,6;0,040364806
90;25,6;0,037001072
100;25,6;0,033637338
110;25,6;0,030273605
120;25,6;0,026909871
130;25,6;0,023546137
140;25,6;0,020182403
150;25,6;0,016818669
160;25,6;0,013454935
170;25,6;0,010091202
180;25,6;0,006727468
190;25,6;0,003363734
200;25,6;0
0;25,7;0,068017554
10;25,7;0,064616676
20;25,7;0,061215799
30;25,7;0,057814921
40;25,7;0,054414043
50;25,7;0,051013165
60;25,7;0,047612288
70;25,7;0,04421141
80;25,7;0,040810532
90;25,7;0,037409655
100;25,7;0,034008777
110;25,7;0,030607899
120;25,7;0,027207022
130;25,7;0,023806144
140;25,7;0,020405266
150;25,7;0,017004388
160;25,7;0,013603511
170;25,7;0,010202633
180;25,7;0,006801755
190;25,7;0,003400878
200;25,7;0
0;25,8;0,068755623
10;25,8;0,065317842
20;25,8;0,061880061
30;25,8;0,05844228
40;25,8;0,055004499
50;25,8;0,051566718
60;25,8;0,048128936
70;25,8;0,044691155
80;25,8;0,041253374
90;25,8;0,037815593
100;25,8;0,034377812
110;25,8;0,030940031
120;25,8;0,027502249
130;25,8;0,024064468
140;25,8;0,020626687
150;25,8;0,017188906
160;25,8;0,013751125
170;25,8;0,010313344
180;25,8;0,006875562
190;25,8;0,003437781
200;25,8;0
0;25,9;0,069488192
10;25,9;0,066013783
20;25,9;0,062539373
30;25,9;0,059064963
40;25,9;0,055590554
50;25,9;0,052116144
60;25,9;0,048641735
70;25,9;0,045167325
80;25,9;0,041692915
90;25,9;0,038218506
100;25,9;0,034744096
110;25,9;0,031269687
120;25,9;0,027795277
130;25,9;0,024320867
140;25,9;0,020846458
150;25,9;0,017372048
160;25,9;0,013897638
170;25,9;0,010423229
180;25,9;0,006948819
190;25,9;0,00347441
200;25,9;0
0;26;0,070214536
10;26;0,066703809
20;26;0,063193082
30;26;0,059682356
40;26;0,056171629
50;26;0,052660902
60;26;0,049150175
70;26;0,045639448
80;26;0,042128722
90;26;0,038617995
100;26;0,035107268
110;26;0,031596541
120;26;0,028085814
130;26;0,024575088
140;26;0,021064361
150;26;0,017553634
160;26;0,014042907
170;26;0,01053218
180;26;0,007021454
190;26;0,003510727
200;26;0
0;26,1;0,070933898
10;26,1;0,067387203
20;26,1;0,063840508
30;26,1;0,060293813
40;26,1;0,056747118
50;26,1;0,053200423
60;26,1;0,049653729
70;26,1;0,046107034
80;26,1;0,042560339
90;26,1;0,039013644
100;26,1;0,035466949
110;26,1;0,031920254
120;26,1;0,028373559
130;26,1;0,024826864
140;26,1;0,021280169
150;26,1;0,017733474
160;26,1;0,01418678
170;26,1;0,010640085
180;26,1;0,00709339
190;26,1;0,003546695
200;26,1;0
0;26,2;0,071645488
10;26,2;0,068063214
20;26,2;0,06448094
30;26,2;0,060898665
40;26,2;0,057316391
50;26,2;0,053734116
60;26,2;0,050151842
70;26,2;0,046569567
